gene_name	avg_error_rate_diff	n_calls	abs_error_rate_diff	performance	max_diff
A4GALT	-1.9871597678559815e-4	38	1.9871597678559815e-4	locityper_better	0.39852575012079167
ABCG8	-3.932991505024206e-5	38	3.932991505024206e-5	locityper_better	0.39852575012079167
ABO	8.823963234474808e-6	38	8.823963234474808e-6	cosigt_better	0.39852575012079167
ABR	0	38	0	locityper_better	0.39852575012079167
AFP	-4.8982836855288754e-5	38	4.8982836855288754e-5	locityper_better	0.39852575012079167
AGL	1.0704297232588268e-5	38	1.0704297232588268e-5	cosigt_better	0.39852575012079167
AGRN	-8.539747761235095e-5	37	8.539747761235095e-5	locityper_better	0.39852575012079167
ALOXE3	-1.551520114373033e-4	38	1.551520114373033e-4	locityper_better	0.39852575012079167
ANKRD11	-1.3133128597025978e-5	38	1.3133128597025978e-5	locityper_better	0.39852575012079167
ANO7	-1.1879670445869447e-4	38	1.1879670445869447e-4	locityper_better	0.39852575012079167
APOBEC1	0.003978183785489815	38	0.003978183785489815	cosigt_better	0.39852575012079167
APOBEC3H	-5.521089719591895e-5	38	5.521089719591895e-5	locityper_better	0.39852575012079167
APOC1	9.774258685472357e-6	38	9.774258685472357e-6	cosigt_better	0.39852575012079167
ARHGEF10	0	38	0	locityper_better	0.39852575012079167
AXIN1	1.2181232074941608e-5	36	1.2181232074941608e-5	cosigt_better	0.39852575012079167
B3GAT3	6.837577457174273e-5	38	6.837577457174273e-5	cosigt_better	0.39852575012079167
BAX	8.244915114236732e-4	38	8.244915114236732e-4	cosigt_better	0.39852575012079167
BFSP2	4.242944407949477e-5	38	4.242944407949477e-5	cosigt_better	0.39852575012079167
BLOC1S3	-0.0038836536262942677	38	0.0038836536262942677	locityper_better	0.39852575012079167
BRAF	2.2486648295468884e-5	38	2.2486648295468884e-5	cosigt_better	0.39852575012079167
BSG	-4.32408487025878e-4	38	4.32408487025878e-4	locityper_better	0.39852575012079167
BTRC	1.2540931916796248e-4	37	1.2540931916796248e-4	cosigt_better	0.39852575012079167
C3	-1.0604093567335448e-5	38	1.0604093567335448e-5	locityper_better	0.39852575012079167
CALR3	5.820545328615914e-5	38	5.820545328615914e-5	cosigt_better	0.39852575012079167
CANT1	2.9702505731566244e-4	38	2.9702505731566244e-4	cosigt_better	0.39852575012079167
CASP10	9.463279914575188e-5	38	9.463279914575188e-5	cosigt_better	0.39852575012079167
CBR3	-0.001000137630188611	38	0.001000137630188611	locityper_better	0.39852575012079167
CBS	0.0029758903077267912	36	0.0029758903077267912	cosigt_better	0.39852575012079167
CD247	2.314847470363554e-6	38	2.314847470363554e-6	cosigt_better	0.39852575012079167
CD4	-5.751306468188327e-5	38	5.751306468188327e-5	locityper_better	0.39852575012079167
CDH15	6.788862230301021e-5	38	6.788862230301021e-5	cosigt_better	0.39852575012079167
CDH17	8.394950894548726e-6	38	8.394950894548726e-6	cosigt_better	0.39852575012079167
CFH	0.23436795981574596	38	0.23436795981574596	cosigt_better	0.39852575012079167
CFHR4	0.3027095929275581	38	0.3027095929275581	cosigt_better	0.39852575012079167
CFHR5	9.792599582907377e-6	38	9.792599582907377e-6	cosigt_better	0.39852575012079167
CHL1	1.5773199331833324e-6	38	1.5773199331833324e-6	cosigt_better	0.39852575012079167
CHRNA4	-9.852527408549688e-5	38	9.852527408549688e-5	locityper_better	0.39852575012079167
CLCN7	8.979613842991818e-6	38	8.979613842991818e-6	cosigt_better	0.39852575012079167
CNR2	7.324305597851953e-5	38	7.324305597851953e-5	cosigt_better	0.39852575012079167
COL18A1	1.5271806490677734e-4	38	1.5271806490677734e-4	cosigt_better	0.39852575012079167
COL6A1	8.313232706231518e-4	38	8.313232706231518e-4	cosigt_better	0.39852575012079167
COX14	-1.993718783888555e-4	38	1.993718783888555e-4	locityper_better	0.39852575012079167
COX6B1	-3.717661228551378e-5	38	3.717661228551378e-5	locityper_better	0.39852575012079167
CREB3L3	-2.2942739024141667e-4	38	2.2942739024141667e-4	locityper_better	0.39852575012079167
CTDP1	-0.0015077261699867448	38	0.0015077261699867448	locityper_better	0.39852575012079167
CYB5R3	-5.078547324376766e-5	38	5.078547324376766e-5	locityper_better	0.39852575012079167
CYP2A13	3.118217351426848e-6	38	3.118217351426848e-6	cosigt_better	0.39852575012079167
CYP2A7	0.1683414675553271	38	0.1683414675553271	cosigt_better	0.39852575012079167
CYP2B6	-1.9842451351514463e-5	38	1.9842451351514463e-5	locityper_better	0.39852575012079167
CYP2C18	2.3942686011046e-5	38	2.3942686011046e-5	cosigt_better	0.39852575012079167
CYP2C19	2.492233196419797e-5	38	2.492233196419797e-5	cosigt_better	0.39852575012079167
CYP2C8	9.614660021210571e-6	38	9.614660021210571e-6	cosigt_better	0.39852575012079167
CYP2C9	2.1444820633424326e-5	38	2.1444820633424326e-5	cosigt_better	0.39852575012079167
CYP2D6	0.1541970083752559	38	0.1541970083752559	cosigt_better	0.39852575012079167
CYP2E1	-4.942932365917936e-4	38	4.942932365917936e-4	locityper_better	0.39852575012079167
CYP2F1	4.4883429038370176e-5	38	4.4883429038370176e-5	cosigt_better	0.39852575012079167
CYP2G1P	2.4431251022248925e-6	38	2.4431251022248925e-6	cosigt_better	0.39852575012079167
CYP2J2	9.433676976078976e-6	38	9.433676976078976e-6	cosigt_better	0.39852575012079167
CYP2R1	-2.267407983243542e-5	38	2.267407983243542e-5	locityper_better	0.39852575012079167
CYP2S1	-1.8300119289312003e-4	38	1.8300119289312003e-4	locityper_better	0.39852575012079167
CYP2U1	-4.764980810412852e-5	38	4.764980810412852e-5	locityper_better	0.39852575012079167
CYP2W1	-0.0012678804195408568	38	0.0012678804195408568	locityper_better	0.39852575012079167
CYP4F12	0.03275223285870623	38	0.03275223285870623	cosigt_better	0.39852575012079167
CYP4F3	-8.730320339108486e-4	38	8.730320339108486e-4	locityper_better	0.39852575012079167
D2HGDH	9.790487330876279e-4	38	9.790487330876279e-4	cosigt_better	0.39852575012079167
DAZL	-9.163401380149922e-6	38	9.163401380149922e-6	locityper_better	0.39852575012079167
DCLRE1C	7.901180538094155e-5	38	7.901180538094155e-5	cosigt_better	0.39852575012079167
DEAF1	3.032481926600033e-5	38	3.032481926600033e-5	cosigt_better	0.39852575012079167
DMPK	0.00686711351398084	38	0.00686711351398084	cosigt_better	0.39852575012079167
DNMT3L	0.002185195277207123	38	0.002185195277207123	cosigt_better	0.39852575012079167
DOK7	0.007061285887434032	38	0.007061285887434032	cosigt_better	0.39852575012079167
DPY19L2	2.945022776695656e-4	38	2.945022776695656e-4	cosigt_better	0.39852575012079167
DRD4	-0.0050630818318586224	38	0.0050630818318586224	locityper_better	0.39852575012079167
DSPP	-0.0041003419974583654	38	0.0041003419974583654	locityper_better	0.39852575012079167
ECHS1	6.912106674648642e-4	38	6.912106674648642e-4	cosigt_better	0.39852575012079167
EEF1A2	-0.0015243785637028843	38	0.0015243785637028843	locityper_better	0.39852575012079167
EIF2B5	4.873443783640136e-5	37	4.873443783640136e-5	cosigt_better	0.39852575012079167
ENO3	-1.666907788425709e-4	38	1.666907788425709e-4	locityper_better	0.39852575012079167
ESPN	-1.0168008490914934e-5	38	1.0168008490914934e-5	locityper_better	0.39852575012079167
ESRRA	-7.371097210157071e-4	38	7.371097210157071e-4	locityper_better	0.39852575012079167
ETFB	-2.9938498295816332e-5	38	2.9938498295816332e-5	locityper_better	0.39852575012079167
ETHE1	-0.010669132643354232	38	0.010669132643354232	locityper_better	0.39852575012079167
EXTL2	-4.346527327834368e-5	38	4.346527327834368e-5	locityper_better	0.39852575012079167
F7	-0.004697470374737292	38	0.004697470374737292	locityper_better	0.39852575012079167
FAT1	1.3740862137526453e-6	38	1.3740862137526453e-6	cosigt_better	0.39852575012079167
FCGR2B	0.04747411412906302	38	0.04747411412906302	cosigt_better	0.39852575012079167
FCGR3A	0.39852575012079167	38	0.39852575012079167	cosigt_better	0.39852575012079167
FGF3	1.999302579807728e-4	38	1.999302579807728e-4	cosigt_better	0.39852575012079167
FGFRL1	2.3734511558936115e-6	38	2.3734511558936115e-6	cosigt_better	0.39852575012079167
FKBP8	7.344041136631707e-5	38	7.344041136631707e-5	cosigt_better	0.39852575012079167
FLAD1	-2.1432968580286984e-4	38	2.1432968580286984e-4	locityper_better	0.39852575012079167
FLG	0.01016783015477432	38	0.01016783015477432	cosigt_better	0.39852575012079167
FLT4	-2.3377187717119483e-4	38	2.3377187717119483e-4	locityper_better	0.39852575012079167
FOXN1	-7.48450331123317e-5	38	7.48450331123317e-5	locityper_better	0.39852575012079167
FSCN2	-0.0012534409476289221	38	0.0012534409476289221	locityper_better	0.39852575012079167
FUT1	-0.0019535783725802306	38	0.0019535783725802306	locityper_better	0.39852575012079167
FXN	8.187287274656872e-7	38	8.187287274656872e-7	cosigt_better	0.39852575012079167
G6PC3	-3.2813356257257716e-5	38	3.2813356257257716e-5	locityper_better	0.39852575012079167
GAK	-4.516273264110744e-5	38	4.516273264110744e-5	locityper_better	0.39852575012079167
GALR1	-0.0021958386061037873	38	0.0021958386061037873	locityper_better	0.39852575012079167
GALT	-4.3141768909951895e-4	38	4.3141768909951895e-4	locityper_better	0.39852575012079167
