gene_name	quality	n	total	percent
A4GALT	mid: >23, <=33	2	76	2.631578947368421
A4GALT	high: >33	74	76	97.36842105263158
ABCG8	low: >17, <= 23	1	76	1.3157894736842104
ABCG8	high: >33	75	76	98.68421052631578
ABO	high: >33	76	76	100
ABR	high: >33	76	76	100
AFP	high: >33	76	76	100
AGL	high: >33	76	76	100
AGRN	high: >33	74	74	100
ALOXE3	high: >33	76	76	100
ANKRD11	high: >33	76	76	100
ANO7	high: >33	76	76	100
APOBEC1	mid: >23, <=33	4	76	5.263157894736842
APOBEC1	high: >33	72	76	94.73684210526315
APOBEC3H	mid: >23, <=33	3	76	3.9473684210526314
APOBEC3H	high: >33	73	76	96.05263157894737
APOC1	high: >33	76	76	100
ARHGEF10	high: >33	76	76	100
AXIN1	high: >33	72	72	100
B3GAT3	mid: >23, <=33	1	76	1.3157894736842104
B3GAT3	high: >33	75	76	98.68421052631578
BAX	mid: >23, <=33	4	76	5.263157894736842
BAX	high: >33	72	76	94.73684210526315
BFSP2	high: >33	76	76	100
BLOC1S3	very low: <= 17	12	76	15.789473684210526
BLOC1S3	high: >33	64	76	84.21052631578947
BRAF	high: >33	76	76	100
BSG	low: >17, <= 23	1	76	1.3157894736842104
BSG	mid: >23, <=33	11	76	14.473684210526317
BSG	high: >33	64	76	84.21052631578947
BTRC	high: >33	74	74	100
C3	high: >33	76	76	100
CALR3	mid: >23, <=33	1	76	1.3157894736842104
CALR3	high: >33	75	76	98.68421052631578
CANT1	very low: <= 17	3	76	3.9473684210526314
CANT1	low: >17, <= 23	8	76	10.526315789473683
CANT1	mid: >23, <=33	12	76	15.789473684210526
CANT1	high: >33	53	76	69.73684210526315
CASP10	high: >33	76	76	100
CBR3	mid: >23, <=33	16	76	21.052631578947366
CBR3	high: >33	60	76	78.94736842105263
CBS	very low: <= 17	6	72	8.333333333333332
CBS	low: >17, <= 23	1	72	1.3888888888888888
CBS	mid: >23, <=33	4	72	5.555555555555555
CBS	high: >33	61	72	84.72222222222221
CD247	high: >33	76	76	100
CD4	high: >33	76	76	100
CDH15	mid: >23, <=33	7	76	9.210526315789473
CDH15	high: >33	69	76	90.78947368421053
CDH17	high: >33	76	76	100
CFH	high: >33	76	76	100
CFHR4	high: >33	76	76	100
CFHR5	mid: >23, <=33	3	76	3.9473684210526314
CFHR5	high: >33	73	76	96.05263157894737
CHL1	high: >33	76	76	100
CHRNA4	mid: >23, <=33	4	76	5.263157894736842
CHRNA4	high: >33	72	76	94.73684210526315
CLCN7	high: >33	76	76	100
CNR2	mid: >23, <=33	4	76	5.263157894736842
CNR2	high: >33	72	76	94.73684210526315
COL18A1	mid: >23, <=33	1	76	1.3157894736842104
COL18A1	high: >33	75	76	98.68421052631578
COL6A1	very low: <= 17	1	76	1.3157894736842104
COL6A1	low: >17, <= 23	2	76	2.631578947368421
COL6A1	mid: >23, <=33	5	76	6.578947368421052
COL6A1	high: >33	68	76	89.47368421052632
COX14	mid: >23, <=33	22	76	28.947368421052634
COX14	high: >33	54	76	71.05263157894737
COX6B1	high: >33	76	76	100
CREB3L3	high: >33	76	76	100
CTDP1	low: >17, <= 23	2	76	2.631578947368421
CTDP1	mid: >23, <=33	8	76	10.526315789473683
CTDP1	high: >33	66	76	86.8421052631579
CYB5R3	high: >33	76	76	100
CYP2A13	low: >17, <= 23	4	76	5.263157894736842
CYP2A13	mid: >23, <=33	12	76	15.789473684210526
CYP2A13	high: >33	60	76	78.94736842105263
CYP2A7	high: >33	76	76	100
CYP2B6	high: >33	76	76	100
CYP2C18	high: >33	76	76	100
CYP2C19	high: >33	76	76	100
CYP2C8	mid: >23, <=33	1	76	1.3157894736842104
CYP2C8	high: >33	75	76	98.68421052631578
CYP2C9	high: >33	76	76	100
CYP2D6	very low: <= 17	6	76	7.894736842105263
CYP2D6	high: >33	70	76	92.10526315789474
CYP2E1	mid: >23, <=33	3	76	3.9473684210526314
CYP2E1	high: >33	73	76	96.05263157894737
CYP2F1	high: >33	76	76	100
CYP2G1P	high: >33	76	76	100
CYP2J2	high: >33	76	76	100
CYP2R1	mid: >23, <=33	3	76	3.9473684210526314
CYP2R1	high: >33	73	76	96.05263157894737
CYP2S1	mid: >23, <=33	9	76	11.842105263157894
CYP2S1	high: >33	67	76	88.1578947368421
CYP2U1	mid: >23, <=33	3	76	3.9473684210526314
CYP2U1	high: >33	73	76	96.05263157894737
CYP2W1	very low: <= 17	1	76	1.3157894736842104
CYP2W1	mid: >23, <=33	3	76	3.9473684210526314
CYP2W1	high: >33	72	76	94.73684210526315
CYP4F12	mid: >23, <=33	1	76	1.3157894736842104
CYP4F12	high: >33	75	76	98.68421052631578
CYP4F3	mid: >23, <=33	28	76	36.84210526315789
CYP4F3	high: >33	48	76	63.1578947368421
D2HGDH	mid: >23, <=33	1	76	1.3157894736842104
D2HGDH	high: >33	75	76	98.68421052631578
DAZL	high: >33	76	76	100
DCLRE1C	high: >33	76	76	100
DEAF1	high: >33	76	76	100
DMPK	mid: >23, <=33	3	76	3.9473684210526314
DMPK	high: >33	73	76	96.05263157894737
DNMT3L	low: >17, <= 23	20	76	26.31578947368421
DNMT3L	mid: >23, <=33	3	76	3.9473684210526314
DNMT3L	high: >33	53	76	69.73684210526315
DOK7	very low: <= 17	1	76	1.3157894736842104
DOK7	high: >33	75	76	98.68421052631578
DPY19L2	high: >33	76	76	100
DRD4	low: >17, <= 23	2	76	2.631578947368421
DRD4	mid: >23, <=33	2	76	2.631578947368421
DRD4	high: >33	72	76	94.73684210526315
DSPP	low: >17, <= 23	9	76	11.842105263157894
DSPP	mid: >23, <=33	25	76	32.89473684210527
DSPP	high: >33	42	76	55.26315789473685
ECHS1	low: >17, <= 23	1	76	1.3157894736842104
ECHS1	high: >33	75	76	98.68421052631578
EEF1A2	very low: <= 17	2	76	2.631578947368421
EEF1A2	mid: >23, <=33	10	76	13.157894736842104
EEF1A2	high: >33	64	76	84.21052631578947
EIF2B5	mid: >23, <=33	1	74	1.3513513513513513
EIF2B5	high: >33	73	74	98.64864864864865
ENO3	mid: >23, <=33	4	76	5.263157894736842
ENO3	high: >33	72	76	94.73684210526315
ESPN	high: >33	76	76	100
ESRRA	very low: <= 17	2	76	2.631578947368421
ESRRA	mid: >23, <=33	2	76	2.631578947368421
ESRRA	high: >33	72	76	94.73684210526315
ETFB	low: >17, <= 23	4	76	5.263157894736842
ETFB	high: >33	72	76	94.73684210526315
ETHE1	very low: <= 17	16	76	21.052631578947366
ETHE1	mid: >23, <=33	3	76	3.9473684210526314
ETHE1	high: >33	57	76	75
EXTL2	high: >33	76	76	100
F7	very low: <= 17	3	76	3.9473684210526314
F7	mid: >23, <=33	7	76	9.210526315789473
F7	high: >33	66	76	86.8421052631579
FAT1	high: >33	76	76	100
FCGR2B	very low: <= 17	9	76	11.842105263157894
FCGR2B	low: >17, <= 23	14	76	18.421052631578945
FCGR2B	mid: >23, <=33	11	76	14.473684210526317
FCGR2B	high: >33	42	76	55.26315789473685
FCGR3A	high: >33	76	76	100
FGF3	mid: >23, <=33	11	76	14.473684210526317
FGF3	high: >33	65	76	85.52631578947368
FGFRL1	mid: >23, <=33	1	76	1.3157894736842104
FGFRL1	high: >33	75	76	98.68421052631578
FKBP8	mid: >23, <=33	3	76	3.9473684210526314
FKBP8	high: >33	73	76	96.05263157894737
FLAD1	mid: >23, <=33	32	76	42.10526315789473
FLAD1	high: >33	44	76	57.89473684210527
FLG	very low: <= 17	2	76	2.631578947368421
FLG	mid: >23, <=33	1	76	1.3157894736842104
FLG	high: >33	73	76	96.05263157894737
FLT4	high: >33	76	76	100
FOXN1	high: >33	76	76	100
FSCN2	low: >17, <= 23	2	76	2.631578947368421
FSCN2	mid: >23, <=33	27	76	35.526315789473685
FSCN2	high: >33	47	76	61.8421052631579
FUT1	very low: <= 17	1	76	1.3157894736842104
FUT1	low: >17, <= 23	5	76	6.578947368421052
FUT1	mid: >23, <=33	8	76	10.526315789473683
FUT1	high: >33	62	76	81.57894736842105
FXN	high: >33	76	76	100
G6PC3	mid: >23, <=33	3	76	3.9473684210526314
G6PC3	high: >33	73	76	96.05263157894737
GAK	mid: >23, <=33	2	76	2.631578947368421
GAK	high: >33	74	76	97.36842105263158
GALR1	very low: <= 17	2	76	2.631578947368421
GALR1	low: >17, <= 23	4	76	5.263157894736842
GALR1	mid: >23, <=33	2	76	2.631578947368421
GALR1	high: >33	68	76	89.47368421052632
GALT	mid: >23, <=33	10	76	13.157894736842104
GALT	high: >33	66	76	86.8421052631579
GCSH	high: >33	76	76	100
GDF3	very low: <= 17	4	76	5.263157894736842
GDF3	high: >33	72	76	94.73684210526315
GIP	high: >33	76	76	100
GOLGA3	mid: >23, <=33	6	76	7.894736842105263
GOLGA3	high: >33	70	76	92.10526315789474
GP1BA	mid: >23, <=33	3	76	3.9473684210526314
GP1BA	high: >33	73	76	96.05263157894737
GP6	mid: >23, <=33	4	76	5.263157894736842
GP6	high: >33	72	76	94.73684210526315
GPI	high: >33	76	76	100
GPIHBP1	very low: <= 17	33	74	44.5945945945946
GPIHBP1	low: >17, <= 23	3	74	4.054054054054054
GPIHBP1	mid: >23, <=33	3	74	4.054054054054054
GPIHBP1	high: >33	35	74	47.2972972972973
GRIN1	low: >17, <= 23	4	76	5.263157894736842
GRIN1	mid: >23, <=33	13	76	17.105263157894736
GRIN1	high: >33	59	76	77.63157894736842
GUSB	high: >33	76	76	100
H19	mid: >23, <=33	3	76	3.9473684210526314
H19	high: >33	73	76	96.05263157894737
HBG1	mid: >23, <=33	4	76	5.263157894736842
HBG1	high: >33	72	76	94.73684210526315
HBM	low: >17, <= 23	3	74	4.054054054054054
HBM	mid: >23, <=33	19	74	25.675675675675674
HBM	high: >33	52	74	70.27027027027027
HCN2	high: >33	76	76	100
HCN3	mid: >23, <=33	1	76	1.3157894736842104
HCN3	high: >33	75	76	98.68421052631578
HLA-A	high: >33	76	76	100
HLA-B	high: >33	76	76	100
HLA-C	high: >33	76	76	100
HLA-DMA	high: >33	76	76	100
HLA-DMB	high: >33	76	76	100
HLA-DOA	high: >33	76	76	100
HLA-DPA1	mid: >23, <=33	3	76	3.9473684210526314
HLA-DPA1	high: >33	73	76	96.05263157894737
HLA-DPB2	high: >33	76	76	100
HLA-DQA1	mid: >23, <=33	3	76	3.9473684210526314
HLA-DQA1	high: >33	73	76	96.05263157894737
HLA-DQA2	high: >33	76	76	100
HLA-DQB1	low: >17, <= 23	1	46	2.1739130434782608
HLA-DQB1	mid: >23, <=33	1	46	2.1739130434782608
HLA-DQB1	high: >33	44	46	95.65217391304348
HLA-DQB2	high: >33	76	76	100
